Iteration,Features,NumberFeatures,Accuracy
29,"[1, 2, 3, 6, 7, 10, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 33, 40, 41, 44, 46, 47, 50, 52, 54, 56, 58, 60, 63]",35,75.8
30,"[1, 2, 3, 6, 7, 10, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 41, 44, 46, 47, 50, 52, 54, 56, 58, 60, 63]",34,75.96666666666667
31,"[1, 2, 3, 6, 7, 10, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 41, 44, 46, 50, 52, 54, 56, 58, 60, 63]",33,75.86666666666667
32,"[1, 2, 3, 6, 7, 10, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 41, 44, 46, 50, 52, 56, 58, 60, 63]",32,75.9
33,"[1, 2, 3, 6, 7, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 41, 44, 46, 50, 52, 56, 58, 60, 63]",31,75.53333333333333
34,"[1, 2, 3, 6, 7, 12, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 41, 44, 46, 50, 52, 56, 58, 60, 63]",30,75.43333333333334
35,"[1, 2, 3, 6, 7, 12, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 41, 44, 50, 52, 56, 58, 60, 63]",29,75.13333333333333
36,"[1, 2, 3, 6, 7, 12, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 44, 50, 52, 56, 58, 60, 63]",28,74.96666666666667
37,"[1, 2, 3, 6, 7, 12, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 44, 50, 52, 56, 58, 60]",27,74.66666666666667
38,"[1, 3, 6, 7, 12, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 44, 50, 52, 56, 58, 60]",26,75.0
39,"[3, 6, 7, 12, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 44, 50, 52, 56, 58, 60]",25,74.4
40,"[3, 6, 7, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 44, 50, 52, 56, 58, 60]",24,74.96666666666667
